soc_code,title,realistic,investigative,artistic,social,enterprising,conventional,top_skills,day_in_life,salary_low,salary_high,growth_pct
11-1011.03,Chief Sustainability Officers,-1.239850476470923,0.7543931988247817,0.5653881142644874,0.6636770915012574,2.3277908263794598,-0.286355308356494,"Reading Comprehension, Writing, Writing","Monitor and evaluate effectiveness of sustainability programs. Develop or execute strategies to address issues such as energy use, resource conservation, recycling, pollution reduction, waste elimination, transportation, education, and building design.",60000,100000,35.0
11-2033.00,Fundraising Managers,-1.7657899690862735,-0.730874779255019,0.7365637125680004,0.7962755077478225,2.529396775169148,-0.055575293230294344,"technical skills, problem solving, communication","Perform technical work, solve problems, collaborate with team.",90000,150000,35.0
11-3013.00,Facilities Managers,-0.2840565908526421,-0.6619382908209355,-0.1913882150773597,0.6901967747505704,1.6095696338161962,0.6367647521483063,"Reading Comprehension, Speaking, Monitoring","Acquire, distribute and store supplies. Dispose of, or oversee the disposal of, surplus or unclaimed property.",90000,150000,15.0
11-3013.01,Security Managers,-0.5520834476662343,0.08382917496596859,-0.5067116856364625,0.13328342651499758,1.6473707492142624,0.6166969247460277,"technical skills, problem solving, communication","Perform technical work, solve problems, collaborate with team.",90000,150000,15.0
11-3021.00,Computer and Information Systems Managers,-0.976880730163248,0.528782873040508,-0.31751760330100076,-0.09213388110416282,1.3260612683306974,0.9478160768836191,"Monitoring, Critical Thinking, Reading Comprehension","Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines. Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",90000,150000,15.0
11-3051.01,Quality Control Systems Managers,-0.45094123754789756,0.27810473328020385,-0.6148225898281551,-0.3175511887233235,1.3008605247319862,0.9277482494813413,"Monitoring, Reading Comprehension, Active Listening",Stop production if serious product defects are present. Review and update standard operating procedures or quality assurance manuals.,90000,150000,15.0
11-3071.04,Supply Chain Managers,-0.5419692266544006,-0.6431374303389128,-0.7679797040997193,-0.33081103034798004,2.094683948091383,0.6267308384471674,"Monitoring, Reading Comprehension, Reading Comprehension","Determine appropriate equipment and staffing levels to load, unload, move, or store materials. Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.",90000,150000,35.0
11-3111.00,Compensation and Benefits Managers,-1.7657899690862735,-0.7120739187729963,-0.3265268453169752,0.756495982873853,2.529396775169148,0.7872734576653928,"Reading Comprehension, Active Listening, Writing","Direct preparation and distribution of written and verbal information to inform employees of benefits, compensation, and personnel policies. Design, evaluate, and modify benefits policies to ensure that programs are current, competitive, and in compliance with legal requirements.",90000,150000,15.0
11-3131.00,Training and Development Managers,-1.2853644710241745,-0.1981837322643734,0.6915175024881287,1.9830313331545792,2.119884691690094,-0.8482544756202856,"Learning Strategies, Instructing, Speaking","Analyze training needs to develop new training programs or modify and improve existing programs. Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.",90000,150000,35.0
11-9041.00,Architectural and Engineering Managers,-0.6683969893023214,0.5538506870165384,0.7275544705520262,0.19295271382595172,2.1387852493891275,-0.1960500850462419,"Reading Comprehension, Mathematics, Critical Thinking","Direct, review, or approve project design changes. Present and explain proposals, reports, or findings to clients.",90000,150000,25.0
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,-0.16774304921655506,1.4186902691895869,0.23204615967343564,-0.2976614262863386,1.0803540182432652,-1.2696788510681296,"Reading Comprehension, Critical Thinking, Writing","Analyze data from biofuels studies, such as fluid dynamics, water treatments, or solvent extraction and recovery processes. Prepare, or oversee the preparation of, experimental plans for biofuels research or development.",90000,150000,15.0
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",-0.19302860174613912,-0.9627520585333001,0.024833593306025165,0.6636770915012574,1.8111755826058844,0.0046281889765409645,"technical skills, problem solving, communication","Perform technical work, solve problems, collaborate with team.",90000,150000,35.0
11-9131.00,Postmasters and Mail Superintendents,-1.2196220344472557,-1.514243966005969,-0.7049150099878986,0.5443385168793491,1.8993781852013727,1.1685621783086808,"Reading Comprehension, Active Listening, Speaking","Monitor employees' work schedules and attendance for payroll purposes. Organize and supervise activities, such as the processing of incoming and outgoing mail.",60000,100000,35.0
11-9141.00,"Property, Real Estate, and Community Association Managers",-0.6835683208200718,-0.8499468956411632,-0.09228655290164155,0.6238975666272882,2.3844924994765595,0.5865951836426109,"Reading Comprehension, Active Listening, Writing","Prepare detailed budgets and financial reports for properties. Manage and oversee operations, maintenance, administration, and improvement of commercial, industrial, or residential properties.",90000,150000,15.0
11-9151.00,Social and Community Service Managers,-1.7657899690862735,-0.8938155700992166,0.43925872604084615,1.8570628377203422,2.529396775169148,-0.22615182614965956,"Social Perceptiveness, Management of Personnel Resources, Active Listening",Establish and oversee administrative procedures to meet objectives set by boards of directors or senior management. Direct activities of professional and technical staff members and volunteers.,90000,150000,15.0
11-9179.01,Fitness and Wellness Coordinators,-0.7644820889147411,-0.49273054648273035,0.24105540168941023,2.036070699653205,1.521367031220708,-1.1191701455510423,"Speaking, Reading Comprehension, Speaking","Maintain wellness- and fitness-related schedules, records, or reports. Develop or coordinate fitness and wellness programs or services.",60000,100000,15.0
11-9199.01,Regulatory Affairs Managers,-1.3865066811425113,-0.46139577901269246,-0.54274865370036,0.06035429757938691,2.1576858070881606,1.2789352290212106,"Writing, Reading Comprehension, Reading Comprehension","Develop regulatory strategies and implementation plans for the preparation and submission of new products. Review all regulatory agency submission materials to ensure timeliness, accuracy, comprehensiveness, or compliance with regulatory standards.",90000,150000,35.0
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,-0.0008584025212996252,0.4598463846064242,-0.35355457136489826,-0.3440708719726365,0.9795510438484211,-0.0856770343337111,"Reading Comprehension, Critical Thinking, Writing","Identify environmental contamination sources. Coordinate on-site activities for environmental cleanup or remediation projects to ensure compliance with environmental laws, standards, regulations, or other requirements.",90000,150000,15.0
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",-0.5470263371603173,-1.0504894074494067,-0.24544366717320576,-0.07887403947950632,1.3953633132271528,0.37588299591868907,"Critical Thinking, Monitoring, Persuasion","Authorize payment of invoices or return of merchandise. Inspect merchandise or products to determine quality, value, or yield.",60000,100000,35.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",-0.557140558172151,-1.044222453955399,-0.6598687999080267,-0.41037008009591897,1.26305940933392,0.9177143357802023,"Reading Comprehension, Reading Comprehension, Speaking","Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services. Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",60000,100000,35.0
13-1031.00,"Claims Adjusters, Examiners, and Investigators",-1.7101617535211882,-0.11044638334826697,-0.7679797040997193,0.053724376767058504,1.1433558772400425,1.4695795893428545,"Reading Comprehension, Active Listening, Critical Thinking",Examine claims forms and other records to determine insurance coverage. Analyze information gathered by investigation and report findings and recommendations.,60000,100000,35.0
13-1032.00,"Insurance Appraisers, Auto Damage",0.28233978581004265,-0.3423236626265481,-0.6598687999080267,-0.5628582587794687,0.3873335692787124,0.6869343206540018,"Active Listening, Writing, Speaking",Evaluate practicality of repair as opposed to payment of market value of vehicle before accident. Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.,60000,100000,35.0
